stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
Baza Harcerska w Stańcykach,"Stańczyki, gmina Dubeninki","19-504 Stańczyki, Polska",Stańczyki,54.2920601,22.6543864
Baza Obozowa Hufca ZHP Poznań - Jeżyce w Łowyniu,"ul. Okrężna 2, 64-426 Łowyń","Okrężna 2, 64-426 Łowyń, Polska",Okrężna 2,52.4940525,15.8964686
Harcerska Stanica Podgaje,64-965 OKONEK PODGAJE - STANICA HARCERSKA Podgaje,"Podgaje, Polska",Podgaje,53.47515259999999,16.8809766
Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem ,87-305 Zbiczno  Ciche 80A,"Ciche 80A, 87-305 Ciche, Polska",Ciche 80A,53.3794073,19.3579277
"""WOLA"" Stanica harcerska Hufca ZHP Krosno w Woli Michowej","Stanica harcerska Hufca ZHP Krosno Wola Michowa 22, 38-543 Komańcza","Wola Michowa 22, 38-543 Wola Michowa, Polska",Stanica harcerska Hufca ZHP Krosno,49.2383318,22.139065
Harcerski Ośrodek Szkoleniowo Wypoczynkowy,"89-504 Legbąd, Biała 20, Leśnictwo Woziwoda","89-504 Woziwoda, Polska",Leśnictwo Woziwoda,53.66954879999999,17.9088306
Harcerska Baza Obozowa Papiernia,"83-424 Lipusz, nadleśnictwo Lipusz","Brzozowa 2, 83-424 Lipusz, Polska",Nadleśnictwo Lipusz,54.09766579999999,17.7887371
"Stanica Harcerska""Nasz dom"" w Słupi","Stanica Harcerska ""Nasz dom"" w Słupi, 09-227 Szczutowo","09-227 Szczutowo, Polska","Stanica Harcerska ""Nasz Dom"" w Słupii",52.9758465,19.5741852
"Harcerski Ośrodek Wypoczynkowy ""Krówka Leśna""","86-013 Mąkowarsko, leśnictwo Różanna","Leśna 5, 86-010 Koronowo, Polska",Nadleśnictwo Różanna,53.32051,17.944844
Harcerski Ośrodek Wypoczynkowy w Smerzynie,"89-210, Smerzyn, Smerzyn 62, Załachowo","89-210 Załachowo, Polska",Załachowo,52.9245901,17.8857149
Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem,87-305 Zbiczno Ciche 80a,"Ciche 80A, 87-305 Ciche, Polska",Ciche 80A,53.3794073,19.3579277
"Stanica Harcerska ""Słoneczna Polana"" w Bierach","43-386 Biery 320 (ul. Sportowa), leśnictwo Jaworze","Biery 320, 43-386 Biery, Polska",Biery 320,49.790994,18.906538
Baza Obozowa w Ustroniu - Lipowcu,"43-431 Ustroń, ul. Bernadka 9, leśnictwo Równica","Równica, 43-450 Ustroń, Polska",Równica,49.7123702,18.8452286
"""Harcerska Polana"" w Strużnicy",58-533 Mysłakowice Strużnica leśnictwo Strużnica,BRAK,BRAK,BRAK
Obóz Hufca Gorczańskiego ZHP Chorągwi Krakowskiej w Pobierowie ,"72-346, Pobierowo, ul. Grunwaldzka, działka leśna 510b, gmina Rewal","Grunwaldzka, 72-346 Pobierowo, Polska",Grunwaldzka,54.06031669999999,14.9325174
Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Pabianice w Małeczu,"Małecz 50, Lubochnia 97-217","Małecz 50, 97-217 Małecz, Polska",Małecz 50,51.619667,19.989538
Kostiuchnówka,"44630 Kostiuchnówka, ul. Centralna 80a, leśnictwo Wołczeck, rejon Maniewicze, obwód wołyński, Ukraina",BRAK,BRAK,BRAK
Harcerski Ośrodek Obozowy PÓLKO,"86-010 Koronowo, leśnictwo Pólko, Nadleśnictwo Różanna Harcerski Ośrodek Obozowy PÓLKO",BRAK,BRAK,BRAK
Stanica Harcerska Chorągwi Mazowieckiej ZHP w Gorzewie,09 - 500 Gostynin (Gorzewo) Leśnictwo KRUK,"Bierzewicka 55, 09-500 Gostynin, Polska",Nadleśnictwo Gostynin,52.4444105,19.4653574
Ośrodek Harcerski w Krynicy Morskiej,82-120 Krynica Morska ul. Słoneczna 1,"Słoneczna 1, 82-120 Krynica Morska, Polska",Atrium - Domki Letniskowe,54.402019,19.512742
Baza harcerska  Garbaś,"16-424 l Filipów,  Garbas ",BRAK,BRAK,BRAK
Sucha Rzeczka,"Sucha Rzeczka, leśnictwo Przewięź","Sucha Rzeczka 60, 16-326 Płaska, Polska",Nadleśnictwo Płaska,53.8830087,23.22305
Baza Hufca ZHP Pabianice w Rogowie,72-330 Mrzeżyno leśnictwo Mrzeżyno powiat Trzebiatów,"Leśna 85, 72-330 Mrzeżyno, Polska",Leśnictwo Mrzeżyno. Nadleśnictwo Gryfice,54.133156,15.2716666
Stanica Hufca ZHP Pabianice w Dwerniku,"38-713 Lutowiska, Dwernik 9, leśnictwo Dwerniczek","38-715 Dwernik; 17, Polska",Leśnictwo Dwerniczek. Nadleśnictwo Lutowiska,49.2129973,22.6308542
"Ośrodek Szkolno Wypoczynkowy ""Pajęczyna"" Hufca ZHP Jarocin","62-085 Skoki, Rościnno, nadleśnictwo Durowo, Leśnictwo Owczegłowy",BRAK,BRAK,BRAK
obóz Harcerski pod namiotami Hufiec ZHP Koło,"64-210 Choczewo, Kopalino 116, Nadleśnictwo Choczewo, Leśnictwo Kopalino",BRAK,BRAK,BRAK
Harcerskie Centrum Edukacji Ekologicznej i Żeglarstwa Hufca ZHP Leszno,"HCEEiŻ ZHP Leszno, Dąbcze ul. Nad Zalewem, 64-130 Rydzyna, ","Nad Zalewem, 64-130 Dąbcze, Polska",Nad Zalewem,51.8047605,16.6479349
Baza Szkoleniowo-wypoczynkowa Ośrodka ZHP Buk w Rybojedzku,"62-060 Stęszew , Rybojedzko ","62-060 Rybojedzko, Polska",Rybojedzko,52.304847,16.6254936
"Stanica Harcerska ""Watra"" Hufca ZHP Kępno","63-507 Kobyla Góra, Sikorskiego 12, Przedborów ","Sikorskiego 12, 63-507 Kobyla Góra, Polska",Sikorskiego 12,51.38529399999999,17.830459
Baza obozowa Hufca ZHP Ziemi Wałbrzyskiej w Wilczu,"64-224 Wilcze, ulicy brak, leśnictwo Świętno","64-224 Wilcze, Polska",Leśniczówka Wilcze. Leśnictwo Świętno. Nadleśnictwo Sława,52.0106954,16.0124921
HARCERSKA BAZA OBOZOWA LUBIANKA,"27-200 STARACHOWICE UL, HARCERSKA 4","Harcerska 4, 27-200 Starachowice, Polska",Harcerska 4,51.0568079,21.074552
"Baza Hufca ZHP Łódź - Górna ""Krańcówka""","79-107, Rusinowo, ul. Sosnowa 11, Rusinowo","Sosnowa 11, 76-107 Jarosławiec, Polska",Sosnowa 11,54.5266335,16.5281186
Ośrodek Obozowo - biwakowy hufca ZHP Ruda Śląska w Kuźnicy," 98-331, Kuźnica, Nowa Brzeźnica, przy drodze numer 492",BRAK,BRAK,BRAK
"Harcerskie Centrum Integracji Dzieci i Młodzieży Baza Kolonijno-Obozowa ""SKAUT"" w Orkuszu","82-550 Prabuty, Orkusz (nie ma numeru), Leśnictwo Gonty",BRAK,BRAK,BRAK
Harcerska Baza Obozowa Hufca ZHP Kwidzyn w Siemianach ,"14-216 Siemiany, Siemiany 24, Leśnictwo Jeziorno","Siemiany 14, 14-230 Siemiany, Polska",Siemiany 14,53.73272799999999,19.586512
Ośrodek Harcerski w Zarzeczu,Zarzecze  ul. Harcerska 1 34-326 ,"Harcerska 1, 34-326 Zarzecze, Polska",Harcerska 1,49.7289559,19.1846359
Ośrodek Harcerski w Jaworzu Nałężu,Jaworze - Nałęże  ul. Grabka 1 43-384 Jaworze ,"Grabka 26, 43-384 Jaworze, Polska",Gościniec Nałęże,49.7622304,18.9120298
BP Hostel Gdynia - Stanica Harcerska,81-431 Gdynia ul. Bolesława Prusa 9-11,"Bolesława Prusa 9, 81-431 Gdynia, Polska",Bolesława Prusa 9,54.5055742,18.5542952
Harcerska Baza Obozowa w Rajcu Poduchownym,"26-613, Rajec Poduchowny, brak ulicy i numeru,leśnictwo Rajec",BRAK,BRAK,BRAK
Harcerska Baza Obozowa w Łazach,"76-002, Łazy, Wierzbowa",BRAK,BRAK,BRAK
Stanica Harcerska Hufca ZHP Ostrołęka,"Kierwik, 12-150 Spychowo, Nadleśnictwo Spychowo","Mazurska 3, 12-150 Spychowo, Polska",Nadleśnictwo Spychowo,53.599776,21.344772
Harcerska baza obozowa Wicie ,76-150 Darłowo  Wicie ul. Wczasowa 4  Leśnictwo Sławno,BRAK,BRAK,BRAK
Baza zuchowa Hufca Łódź-Bałuty w Świętouściu,"72-514 Kołczewo, Baza zuchowa Hufca Łódź-Bałuty w Świętouściu, leśnictwo Kołczewo","Wrześnieńska 64, 91-045 Łódź, Polska","ZHP Hufiec Łódź-Bałuty ""Promienistych""",51.7867034,19.4364944
Stanica Harcerska Olchowiec,"38-709 Olchowiec, Olchowiec, gm. Czarna, powiat bieszczadzki","Olchowiec, Polska",Olchowiec,49.3154357,22.508801
Baza harcerska Hufca Łódź-Bałuty w Przewozie,"77-143 Przewóz, Baza Harcerska Hufca Łódź-Bałuty ""Promienistych"" w Przewozie, leśnictwo Lubaszki",BRAK,BRAK,BRAK
HARCERSKA BAZA OBOZOWA HUFCA ŁAGIEWNIKI W POBIEROWIE,72-346 POBIEROWO UL. POLNA LEŚNICTWO POBIEROWO,"Polna, 72-346 Pobierowo, Polska",Polna,54.0615541,14.9484229
Harcerska Baza Obozowa Gaj,"13-334 Gaj, leśnictwo Lipowa Góra, Nadleśnictwo Jamy","Łąkorz 160, 13-334 Łąkorz, Polska",Leśnictwo Lipowa Góra. Nadleśnictwo Jamy,53.4596355,19.350747
"Stanica Harcerska ""Zielona Polana"" Hufiec ZHP Ostrów Wlkp",63-400 Ostrów Wielkopolski ul. Siwego Sokoła 1 leśnictwo Taczanów ,BRAK,BRAK,BRAK
